Spikeling Vm,Stimulus,Total Current Input,Synapse 1 Vm,Synapse 1 Input,Synapse 2 Vm,Synapse 2 Input
-51.84,30.0,47.41,-64.0,45.18,-96.0,0.0
-49.34,30.0,51.18,-61.0,44.96,-95.0,0.0
-47.02,30.0,46.95,-60.0,44.73,-96.0,0.0
-44.43,30.0,46.92,-60.0,44.51,-96.0,0.0
-41.11,30.0,50.69,-57.0,44.29,-94.0,0.0
-37.69,30.0,46.47,-56.0,44.06,-96.0,0.0
-33.65,30.0,46.3,-55.0,43.84,-96.0,0.0
-28.34,30.0,50.28,-54.0,43.62,-94.0,0.0
-22.09,30.0,46.26,-52.0,43.41,-96.0,0.0
-13.99,30.0,46.03,-50.0,43.19,-96.0,0.0
-2.65,30.0,49.61,-48.0,42.97,-94.0,0.0
13.2,30.0,45.59,-46.0,42.76,-96.0,0.0
-65.0,30.0,45.36,-45.0,42.54,-96.0,0.0
-63.69,30.0,49.14,-42.0,42.33,-95.0,0.0
-62.83,30.0,44.72,-39.0,42.12,-96.0,0.0
-61.99,30.0,44.57,-37.0,41.91,-96.0,0.0
-60.76,30.0,48.36,-35.0,41.7,-95.0,0.0
-59.94,30.0,44.14,-31.0,41.49,-96.0,0.0
-59.13,30.0,43.72,-23.0,41.28,-96.0,0.0
-57.8,30.0,48.81,-16.0,43.58,-94.0,0.0
-56.48,30.0,48.11,-8.0,45.88,-96.0,0.0
